,title,description
25019,L'immortale,"World famous winemaker Elson Po invites several actors to his estate to audition for a movie he's financing. Little did they know, there is no movie, and Po hides a deadly secret."
25026,Warlock: Il signore delle tenebre,"A warlock flees from the 17th to the 20th century, with a witch-hunter in hot pursuit."
25040,Witchtrap,Parapsychologists try to make an inn haunted by an evil witch's ghost safe for guests.
25046,Vampire vs. Vampire,"A priest discovers that the water supply in his village has been contaminated by bats, and while in the process of digging a well to find new water supply, he inadvertently unearths the corpse of an evil Western priest."
25048,La città delle bestie incantatrici,"Two agents - a lady-killer human and a voluptuous demon - attempt to protect a signatory to a peace ceremony between the human world and the ""Black World"" from radicalized demons."
25069,Adrénaline,
25083,L'ambulanza,"A comic-book artist meets a woman on the NY streets, but after a quick flirtation, she suddenly collapses, and is picked-up by an old ambulance. He checks all the hospitals in the area, but the woman seems to have disappeared."
25090,Aracnofobia,A species of South American killer spider hitches a lift to the U.S. in a coffin and starts to breed and kill.
25092,The Arrival,"An old man, who has been near a fallen meteor, starts to get younger and younger, with a terrible thirst for blood."
25110,Basket Case 2,Duane and his basket-bound mutant brother are taken in by a secret home for wayward freaks with journalists hot on their tail.
25122,Arcobaleno nero,"A young female medium on tour sees a hitman killing a whistleblower in her vision. The killer finds out about this and plans to kill her as well. The skeptical police, her manager father and a curious journalist try to protect her."
25124,Blood Salvage,"Twisted tale about a crazy, preaching redneck named Jake who kidnaps people off the highway and performs sick medical experiments on them. He then proceeds to sell their organs on the black..."
25132,Brain Dead,"In a showdown of man versus machine, Martin plunges into a chaotic nightmare trying to save his mind from the megalomaniacal corporation."
25133,Re-Animator 2,Doctors Herbert West and Dan Cain discover the secret to creating human life and proceed to create a perfect woman from dead tissue.
25135,Sepolti vivi,The new teacher at an old girl's boarding school suspects that something goes wrong when students start missing.
25146,The Cellar,"A young boy finds an ancient Comanche monster spirit in the basement of his home. His parents don't believe him, so he must kill the monster alone."
25153,La bambola assassina 2,"While Andy's mother is admitted to a psychiatric hospital, the young boy is placed in foster care, and Chucky, determined to claim Andy's soul, is not far behind."
25162,Classe 1999,"Robot teachers have been secretly placed in the schools where the students have run riot. The teachers do a good job of controlling the unruly youngsters, until they go too far and some students get suspicious."
25163,Click: The Calendar Girl Killer,Click: The Calendar Girl Killer is a thriller that probes the inner sanctum of the mind of a psychotic killer as he uses the world of big fashion photography for his sadistic playground.
25190,666 il triangolo maledetto,"In 2022, a repair crew is sent to fix an orbital weapon but their spaceship malfunctions and ends up heading towards the dark side of the moon. There, in a mysterious, seemingly abandoned space shuttle, a sinister force lies in wait."
25192,Darkroom,"Looking for revenge for past incenstous experiences, a slasher invades a lonely farmhouse."
25194,Obitorium,"Cute waitress/hooker is romanced and wed to handsome stranger/funeral director. He, as well as most of the town prefer their women dead. She is the obvious candidate for that position, as ..."
25195,Zombie news,"A reporter investigating a drug dealing ring is murdered. Brought back to life by the voodoo spell of a cleaning woman, he goes after his killers."
25197,Deadbeat at Dawn,"One last job separates the leader of the Ravens gang from an early retirement. When he finds his girlfriend beaten to death by members of a rival gang, he seeks revenge, knowing that he may be dead by dawn. Will more blood bring her back?"
25199,La danza del diavolo,"A group of teenagers take refuge in an old, deserted mansion. Soon the members of the group start turning up dead, and the teenagers realize that they're not alone in the mansion."
25200,Death Spa,Gruesome deaths begin to occur at a hip Los Angeles health club.
25205,Def by Temptation,"An evil succubus is preying on libidinous black men in New York City, and all that stands in her way is a minister-in-training, an aspiring actor, and a cop who specializes in cases involving the supernatural."
25210,Il soffio del diavolo,"With the need to investigate the mysterious death of his grandparents, Cory and his friends assemble back to the old farm where it all began, sixty years earlier."
25213,Das deutsche Kettensägen Massaker,"In ""German Chainsaw Massacre"" people meet up with a household of butchers. They detect low cost meat in the East Germans moving over the old boundary into the West and start turning them ..."
25222,The Disturbance,"A psycho is on the prowl, and his victims are all beautiful women. The police must catch him before he kills again."
25223,Pazzi,"10 years ago the perverse Dr. Russell couldn't resist the beauty of a young patient in his mental clinic and raped her one night. When she plunged herself from the roof shortly after, he ..."
25240,Elves,"A young woman discovers that she is the focus of an evil Nazi experiment involving selective breeding and summoned elves, an attempt to create a race of supermen. She and two of her friends..."
25241,Empire of the Dark,"A private detective searching for a killer comes across a satanic cult from another dimension, monsters called up from hell and murderous ninja assassins."
25246,Evil Spirits,A strange woman runs a boardinghouse whose tenants--mostly misfits and others who won't be missed--begin dying off or simply disappearing. She still cashes their government benefit checks ...
25247,Evil Toons - Non entrate in quella casa...,"Burt has a cleaning company and hires four women to clean an isolated house. They find an old book, a dagger and a soul shred and when one of them, Megan, reads an incantation, she unleashes an evil beast in our world."
